Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
GPU,,Nvidia,RTX 4090,1,370,14735,https://gpu.userbenchmark.com/Nvidia-RTX-4090/Rating/4136
GPU,GV-N4090GAMING OC-24GD,Gigabyte,Gigabyte RTX 4090 24GB Gaming OC,1,370,14735,https://gpu.userbenchmark.com/Nvidia-RTX-4090/Rating/4136
GPU,TUF-RTX4090-24G-GAMING,Asus,Asus RTX 4090 24GB TUF Gaming OC,1,370,14735,https://gpu.userbenchmark.com/Nvidia-RTX-4090/Rating/4136
GPU,GeForce RTX 4090 GAMING X TRIO 24G,MSI,MSI RTX 4090 24GB Gaming X Trio,1,370,14735,https://gpu.userbenchmark.com/Nvidia-RTX-4090/Rating/4136
GPU,RTX 4090 SUPRIM Liquid X 24G,MSI,MSI RTX 4090 24GB Suprim Liquid X,1,370,14735,https://gpu.userbenchmark.com/Nvidia-RTX-4090/Rating/4136
GPU,RTX 4090 SUPRIM X 24G,MSI,MSI RTX 4090 24GB Suprim X,1,370,14735,https://gpu.userbenchmark.com/Nvidia-RTX-4090/Rating/4136
GPU,,Nvidia,RTX 4080,2,290,10703,https://gpu.userbenchmark.com/Nvidia-RTX-4080/Rating/4138
GPU,RTX 4080 16GB GAMING X TRIO,MSI,MSI RTX 4080 16GB Gaming X Trio,2,290,10703,https://gpu.userbenchmark.com/Nvidia-RTX-4080/Rating/4138
GPU,GV-N4080GAMING OC-16GD,Gigabyte,Gigabyte RTX 4080 16GB Gaming OC,2,290,10703,https://gpu.userbenchmark.com/Nvidia-RTX-4080/Rating/4138
GPU,ZT-D40810B-10P,Zotac,Zotac RTX 4080 16GB AMP Extreme,2,290,10703,https://gpu.userbenchmark.com/Nvidia-RTX-4080/Rating/4138
GPU,G408016SX,MSI,MSI RTX 4080 16GB Suprim X,2,290,10703,https://gpu.userbenchmark.com/Nvidia-RTX-4080/Rating/4138
GPU,RTX 4080 16GB VENTUS 3X OC,MSI,MSI RTX 4080 16GB Ventus 3X,2,290,10703,https://gpu.userbenchmark.com/Nvidia-RTX-4080/Rating/4138
GPU,TUF-RTX4080-O16G-GAMING,Asus,Asus RTX 4080 16GB TUF Gaming OC,2,290,10703,https://gpu.userbenchmark.com/Nvidia-RTX-4080/Rating/4138
GPU,,AMD,RX 7900-XTX,3,256,935,https://gpu.userbenchmark.com/AMD-RX-7900-XTX/Rating/4142
GPU,,Nvidia,RTX 4070-Ti,4,240,27232,https://gpu.userbenchmark.com/Nvidia-RTX-4070-Ti/Rating/4146
GPU,RTX 4070 Ti GAMING X TRIO 12G,MSI,MSI RTX 4070 Ti 12GB Gaming X Trio,4,240,27232,https://gpu.userbenchmark.com/Nvidia-RTX-4070-Ti/Rating/4146
